Title,Chapter,Article,Section,Content,Page (int)
ACADEMIC REGULATIONS,Chapter 5. Classification of Students,Article. 2. Irregular Load,Section 2. Overload,"2. With reference to CMO 40, s.2008, the student who is graduating (completed at least 75% for four-year programs, and at least 80% for five-year programs of the prescribed academic units) may carry an additional course load of six (6) in excess of the normal load. However, graduating students who are scholastic delinquents in the immediate previous semester are not allowed to have an overload in the ensuing semester. ",Page: 27-28
ACADEMIC REGULATIONS,Chapter 5. Classification of Students,Article. 2. Irregular Load,Section 2. Overload,"3. With reference to CMO 104, s. 2017, a student intern or a student on OJT is allowed to take other subjects with a maximum of six (6) units. 4. In exceptional cases, a non-graduating student with a GPA of 1.5 may be allowed to handle a maximum
overload of six (6) units.",Page: 27-28
ACADEMIC REGULATIONS,Chapter 6. Academic Load of Students,Article. 3. Pre-requisite,,The student should strictly observe the sequencing of subjects. S/he should pass first the prerequisite subjects before enrolling in a required subject in the semester. Failure to comply with this provision will render the enrollment of the subject requiring prerequisite null and void.,Page: 28
ACADEMIC REGULATIONS,Chapter 6. Academic Load of Students,Article. 4. Mid-Year Term,,"The normal load during the mid-year term shall be six (6) units. Only under justifiable circumstances, as evaluated and approved by the Dean, can a graduating or non-graduating student be allowed to carry a maximum of nine (9) units.",Page: 28
ACADEMIC REGULATIONS,Chapter 7. Classes,Article. 1. Schedule of Classes,,"The schedule of classes shall be prepared by the colleges in accordance with the academic calendar. Classes may start at 7:30 in the morning and end at 9:00 in the evening. For security purposes, a 10:00 PM curfew shall be enforced and mechanisms for compliance shall be set by the University.",Page: 28
ACADEMIC REGULATIONS,Chapter 7. Classes,Article. 2. Petitioned Classes,,"Formerly known as special class, a petitioned class is an offsemester subject (i.e., one which is not offered in the current semester) which may be offered upon petition by a class or a group of students. ",Page: 28-29
ACADEMIC REGULATIONS,Chapter 7. Classes,Article. 2. Petitioned Classes,,"Students who would like to request for a petitioned class shall fill out the request form for the - recommendation of the Dean concerned and the approval of the academic Vice Chancellors, through channels.",Page: 28-29
ACADEMIC REGULATIONS,Chapter 7. Classes,Article. 2. Petitioned Classes,,A minimum number of five (5) students shall warrant the possibility of the opening of petitioned classes depending on availability of instructors and provided the instructors agree to the approved payment rate for petitioned classes.,Page: 29
ACADEMIC REGULATIONS,Chapter 7. Classes,Article. 3. Suspension of Classes,,"For valid reasons such as natural calamities or compromised peace and order situations, classes may be suspended by the President or Chancellor.",Page: 29
ACADEMIC REGULATIONS,Chapter 7. Classes,Article. 4. Make-up Classes,,"A faculty member may conduct make-up classes, provided the reasons for missed classes are valid based on approved university policies and permitted by competent authorities, and provided further, that schedules do not prejudice the interest of the students. Make-up classes shall include on-line sessions.",Page: 29
ACADEMIC REGULATIONS,Chapter 7. Classes,Article. 5. Non-Regular Class,,"A faculty member may conduct make-up classes, provided the reasons for missed classes are valid based on approved university policies and permitted by competent authorities, and provided further, that schedules do not prejudice the interest of the students. Make-up classes shall include on-line sessions.",Page: 29
ACADEMIC REGULATIONS,Chapter 7. Classes,Article. 6. Advanced Classes/Courses,,"Students may be allowed to take advanced courses, in consultation with their academic advisers and subject to availability of funds and the approval by the chairman/unit coordinator where the course is under, under the following conditions: - 
1. these courses are non-prerequisite 
2. courses are not in conflict with the allowable number of units per semester; and 
3. only when a section is open.",Page: 29-30
ACADEMIC REGULATIONS,Chapter 7. Classes,Article. 7. Bridging Programs,,"Bridging programs may be offered by the university to students so that they can cope with the requirements of higher education and their specific course. Provided: (1) that the student is already admitted as a bona fide student (i.e., s/he is not under conditional enrollment subject to passing the bridging program), and (2) that the bridging program is embedded in the curriculum.",Page: 30
ACADEMIC REGULATIONS,Chapter 7. Classes,Article. 8. Night/Weekend Class,,The offering of night/weekend classes shall be established for working and underprivileged students as well as out-of-school youth who wish to avail of the training and education provided by the offered programs in USTP.,Page: 30
ACADEMIC REGULATIONS,Chapter 7. Classes,Article. 8. Night/Weekend Class,,"Admission and selective retention policies under the Affirmative Action Program shall apply. Refer to Title Six, Chapter 12 – Affirmative Action Program.",Page: 30
ACADEMIC REGULATIONS,Chapter 7. Classes,Article. 8. Night/Weekend Class,Section 1. Shifting to another program within the Night/Weekend Class Program,"All existing policies for shifting to another program shall apply. Refer to Title Two, Chapter 17, Section 1 – Shifting of Degree Programs.",Page: 30
ACADEMIC REGULATIONS,Chapter 7. Classes,Article. 8. Night/Weekend Class,Section 2. Shifting to Regular Schedules,The requirement for shifting to a program under the regular schedules is the completion of 50% of the current night class - program curriculum. All existing policies relevant to shifting shall then apply.,Page: 30-31
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 1. Admission to Class,,"Enrolled students must show proof of their registration before being admitted to class. Upon the discretion of the instructor, students who are not enrolled may be allowed to attend a class as observer.",Page: 31
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 2. Tardiness and Absence,,"Prompt and regular attendance in classes is required of all students throughout the duration of every course. A student is considered tardy when s/he arrives past 25% of the scheduled class period (e.g., 30 minutes for a 1.5-hour period; 1 hour for a 3-hour period). Three (3) instances of tardiness are equivalent to one (1) absence. ",Page: 31
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 2. Tardiness and Absence,,"In cases where instructors/professors are late for class, students should not leave the classroom until the first third fraction of the scheduled class time has passed. ",Page: 31
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 2. Tardiness and Absence,,Absences during the adding/dropping period shall not be included in the counting.,Page: 31
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 3. Excused Absences,,It is the responsibility of the students to comply with class requirements in case of missed classes. Absences of students may be excused for any of the following reasons:,Page: 31
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 3. Excused Absences,Section 1. Illness,"The student must submit a medical certificate issued by the University Physician or any other physician, provided that in the latter case the medical certificate shall be authenticated by the University Physician.",Page: 31
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 3. Excused Absences,Section 2. Natural calamities,"Natural calamities such as storms, floods, earthquakes, fires.",Page: 32
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 3. Excused Absences,Section 3. Absences after midterm examination,"If a student fails to attend classes after mid-terms due to the above-mentioned reasons (Section 1 and 2) for the rest of the semester but has a passing mid-term grade, final grade computation will simply factor in all graded activities, which may include submissions to make up for missed assessments.",Page: 32
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 3. Excused Absences,Section 4. Official participation in curricular or non-curricular activities,"As early as possible, the student/s should seek prior approval from the Dean or his duly authorized representative, through channels, when participating in university-sanctioned activities that would cause him/her to miss a class or classes. 


",Page: 32-34
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 3. Excused Absences,Section 4. Official participation in curricular or non-curricular activities,"Once the request is approved, the student or students should inform their instructors/professors. ",Page: 32-34
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 3. Excused Absences,Section 4. Official participation in curricular or non-curricular activities,"The instructor/s should attempt to provide opportunities for equivalent work, either before or after the class absence, in accordance with any department or college requirements. ",Page: 32-34
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 3. Excused Absences,Section 4. Official participation in curricular or non-curricular activities,Students who miss classes from attending activities that are not approved by school officials shall be considered absent. ,Page: 32-34
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 3. Excused Absences,Section 4. Official participation in curricular or non-curricular activities,"Incomplete grades (INC) should not be given to students who missed class or classes due to university sanctioned activities, unless deemed necessary by the instructor concerned. ",Page: 32-34
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 3. Excused Absences,Section 4. Official participation in curricular or non-curricular activities,"Students who miss classes due to approved participation in university-sanctioned activities will be allowed to take special examinations and make up for other graded inclass work, so that all requirements of the course will be complied with. For purposes of implementing this policy, - activities that will qualify as university-sanctioned are the following: 

1. all activities reflected in the approved Academic Calendar. 

2. curricular activities including field trips and educational tours 

1. non-curricular activities including participation in competitions (e.g., Quiz Bowls, Oration, Debate, Sports, Arts and Culture) 

2. sponsored by the university as well as other schools and agencies 

3. system/campus events requiring the participation of students (e.g., Art and Culture group presentations) 

4. other activities approved by competent authority",Page: 32-34
ACADEMIC REGULATIONS,Chapter 8. Attendance of Students,Article. 4. Dropped Due to Absence,,"In compliance with BOR Resolution No. 31, s. 2018, the student who has incurred three (3) consecutive weeks of unexcused absences or more than seventeen percent (17%) of the total number of contact hours in the semester (e.g., 3 meetings for 3- hour classes/week) shall be automatically given a grade of Dropped with Failure (D/F) by the instructor. Once a student is given a midterm mark of D/F, the final grade shall automatically be D/F. A mark of “D/F” is not equivalent to a failing grade of 5.0.",Page: 33
ACADEMIC REGULATIONS,Chapter 9. Leave of Absence,,,"The student who does not intend to enroll in a semester or in a school year must apply for a Leave of Absence (LOA). A maximum of one school-year of LOA may be granted to the student applicant. The period during which the student is on LOA shall be excluded from the number of residency years. 



",Page: 33-34
ACADEMIC REGULATIONS,Chapter 9. Leave of Absence,,,"In the event that there are any approved changes in the program or - curriculum during his/her leave of absence, the student returnee is evaluated by the department chair for the approval of the dean. ",Page: 33-34
ACADEMIC REGULATIONS,Chapter 9. Leave of Absence,,,"The leave of absence form may be procured from the Registrar’s Office, submitted to the Department Chair upon accomplishment, and approved by the Dean",Page: 33-34
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,,,Off-campus activities refer to activities which include all curricular and non-curricular activities undertaken outside the premises of the institution. ,Page: 34
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,,,The conduct of Curricular and Non-curricular off-campus activities shall comply with university policies and procedures with reference to government regulations. ,Page: 34
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,,,Students who will be joining the educational tour/trip shall be required to submit a duly notarized parent’s/guardian’s consent and a medical certificate. They are expected to attend the consultations and briefing/orientations before the trips and to submit learning journals after the trip.,Page: 34
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,"Curricular activities are required off-campus activities and are an integral part of the instructional program. 





",Page: 34-35
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,"The university recognizes the significance of exposing the students to industry culture, state of the art technology, and the entire industrial environment through the conduct of curricular activities that enhance/validate the theories discussed in the classroom for better appreciation of a particular subject matter. ",Page: 34-35
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,"These immersion trips are categorized as part of the curriculum and treated as a subject or as a strategy which is a component of the syllabus. All students are expected to attend the scheduled off-campus activity since it is part of the regularly scheduled class time. 
",Page: 34-35
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,• Educational Tours refer to off-campus learning activities involving mobility of students with the supervision of authorized personnel outside the premised of the institution which lasts for more than one (1) day and involves relatively more places of destination than a field trip in accordance with specific degree program requirements. ,Page: 34-35
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,• Field Trips refer to off-campus learning activities involving mobility of students with the supervision of authorized personnel outside the premises of the institution but is of relatively shorter duration usually lasting for only one (1) day and with fewer places of destination. ,Page: 34-35
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,• Field Study/Experiential Learning/Related Learning Experience refer to off-campus activities which are congruent to the learning outcomes of the course in terms of time and context. These activities require substantial off-campus learning as curriculum delivery.,Page: 34-35
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,"The following policies and guidelines are stipulated by the university: 

1. Educational tours and field trips shall not substitute major examinations. 





",Page: 35-36
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,"2. No educational field trips/tours shall be conducted less than a month after start of classes, one week before the Midterm Examination, and two weeks before the Final Examination.",Page: 35-36
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,"3. In addition, no educational field trips/tours shall be scheduled and conducted during Accreditation Visit/Survey of Programs of the University by AACCUP and other duly recognized accreditation agencies. This is because the faculty members are required to actively participate in all accreditation activities during the actual accreditation visit/survey. ",Page: 35-36
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,"4. As much as practicable, educational tours and/or field trips shall be conducted within the city or near the university in order to minimize cost. The instructor/professor concerned shall exercise prudence relative to the number of days the trip will be conducted and the cost of the trip. ",Page: 35-36
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,"5. When the educational tours and/or field trips require additional cost on the part of the students, prior consultation with concerned students shall be undertaken by the faculty. ",Page: 35-36
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,6. Only students who are officially enrolled in a particular subject shall be allowed to join the trip. ,Page: 35-36
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,"7. Parallel learning experiences provided for students who cannot join the trips shall not be made as a substitute for a major examination or for the purpose of compelling students to participate in said activities. 
",Page: 35-36
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 1. Description,8. Students are accountable for classes missed during the field trip. They should consult with their other instructors for possible make-up classes/activities.,Page: 35-36
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 2. Procedure,"1. Requests to conduct local curricular off-campus activities shall be made within two weeks from the start of classes in a semester/term by the Subject Instructor/Professor in consultation with the students concerned. Requests should provide information on the nature of the tour/trip including its purpose, schedule, destinations, and cost. 

",Page: 36-38
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 2. Procedure,"The following are the documents to be submitted/attached together with the request letter: 

a. Copy of the Approved Prospectus 

b. Copy of the Approved Individual Teacher’s Load (for the instructor concerned) 

c. List of students 

d. Copy of the subject syllabus 

e. Designation of Person-In-Charge (PIC) and Overall PIC 

f. Minutes of the consultation meeting conducted to concerned students with attendance sheet 

g. Quotation from at least three legitimate providers (Travel Agencies). Only travel agencies accredited by DOT and with appropriate Business Permit should be entertained or accepted by the instructor concerned 

",Page: 36-38
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 2. Procedure,"The following are the documents to be submitted/attached together with the request letter: 


h. Copy of the Travel Agency’s Accreditation Certificate issued by DOT and valid Business Permit 

i. Proposed Itinerary of the Educational Tour and/or Field Trip 

j. Contract of Service 

k. Insurance (group/individual) 

l. Upon processing of the travel documents, i.e., travel order and itinerary of travel, the following should be attached: 

i. Parent’s or guardian’s consent and student waiver (form can be secured from the OSA) 

ii. Confirmation or acceptance letter from the companies to be visited 

iii. Written report on the briefing conducted to students, with attendance sheet 

iv. Final Itinerary of the Educational Tour ",Page: 36-38
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 2. Procedure,2. OSA reviews the compiled documents and prepares the Certificate of Compliance. (To follow existing template of CHED.) ,Page: 36-38
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 1. Curricular Activities,Section 2. Procedure,"3. Certificate of compliance shall be recommended for approval by the Chair/Dean, OSA and VCAA to the Chancellor. Itinerary of Travel and Travel Order are attached for final approval.",Page: 36-38
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 2. Non-Curricular Activities,,"Non-curricular activities refer to off-campus activities that are considered as non-curricular or non-program-based activities, among others, and are left to the discretion of the USTP for the strategies of implementation as long as the safety and security of the students are duly ensured. 



",Page: 38
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 2. Non-Curricular Activities,,"Students may be called upon to participate in competitions (e.g., Quiz Bowls, Oration, Debate, Sports, Arts and Culture) sponsored by the university as well as other schools and agencies. They may also be required to participate or perform in University system/campus events (e.g., Art and Culture group presentations). 
",Page: 38
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 2. Non-Curricular Activities,,Approved policies and procedures for excused absences shall apply should missed classes be incurred from such participation. ,Page: 38
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 2. Non-Curricular Activities,,"The letter of request/invitation from sponsoring/ recommending external agency is submitted for approval through channels (Chair, Dean, OSA) to the VCAA for local events, to the Chancellor for national events, and to the University President for international events. CMO 63, s. 2017 lists non-curricular activities as the following: mission-based activities (e.g., retreat, recollection, etc.); conventions, seminars, conferences, symposiums, trainings and teambuilding; volunteer work including peer helper programs, relief operations, community outreach and immersion; advocacy projects and campaigns; participation in sports activities; activities initiated by recognized various student groups; interschool competitions/ tournaments; or culture and arts performances and competition.",Page: 38
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 3. Outbound Student Mobility,,The participation of Filipino students in academic exchanges abroad can be beneficial in terms of developing their intellectual potential.,Page: 39
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 3. Outbound Student Mobility,,"Outbound student activities can be self-financed, privately funded through USTP to HEI arrangements, supported by mixed study work assistance schemes of individual universities abroad, or publicly funded from Government or official development assistance (ODA) sources. Duration of the internship, rules about returning to the University, financial obligations, and other responsibilities of the University, the company, and the students shall be stipulated in the MOU/MOA.",Page: 39
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 3. Outbound Student Mobility,,"Categories of outbound student mobility include: 

• diploma mobility which involves doing a degree program in another country 
• credit mobility which involves doing some courses in another country that is part of the program in the home institution and 
• other short-term mobility which involves going abroad during a higher education program for an activity relevant to the program and for a specific period of time, such as study tours and language tours, cultural exchanges, and placements or practical training including internships",Page: 39
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 3. Outbound Student Mobility,,"Program completion of outbound students: 

• If the student needs to start the internship in the middle of the semester, upon consultation with the department chair, outbound students may enroll and finish the non-professional courses for the remaining days of the semester online. 
• If the internship program results to the necessary extension of the student’s completion of the program, the student must be well informed. A revised Program of Study (reflecting the duration of the internship and affected courses, must be signed by the student signifying that they understand how the internship will affect their completion of the program 
• Students who are candidates for honors who need to extend the completion of the degree (with the possible reduction in semestral load below 85%) as a result of the internship/exchange program shall not be disqualified from being considered to receive the honors award.",Page: 39-40
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 3. Outbound Student Mobility,,"Funding Priorities 

• Publicly funded activities for outbound students shall prioritize degree courses in the high need disciplines at the graduate or postgraduate levels for beneficiaries who can potentially bring higher returns to teaching or research upon their return. 
• Due to limited resources for publicly funded diploma mobility, USTP shall promote unsponsored credit and other short-term mobility as part of its internationalization programs and to encourage students to include an international component as part of their degree.",Page: 40
ACADEMIC REGULATIONS,Chapter 10. Off-Campus Activities,Article. 3. Outbound Student Mobility,,"Support Services 

• USTP may seek technical support from government agencies such as CHED with regard to Diploma - Supplements, credit transfer schemes and the design of mobility innovations. 
• The USTP Office of International Affairs, guided by government regulations, shall set minimum standards for the duration and activities abroad for short term mobility. 
• The USTP Office of International Affairs shall be guided by the policy framework and guidelines set by the government in the selection of appropriate and legitimate partners for international education tours and cultural exchanges.",Page: 40-41
ACADEMIC REGULATIONS,Chapter 11. On the Job Training (OJT)/Student Internship,,,"As part of an immersion scheme pursuant to the university mandate of establishing industry-academe linkages and bringing students to the world of work, student internship/OJT Programs aim to provide students with the opportunity to acquire practical knowledge, skills and desirable attitudes and values in reputable establishments/industries in the country. Participation in such programs will require strict compliance with the conditions and requirements prescribed by the University and government regulations.",Page: 41
ACADEMIC REGULATIONS,Chapter 11. On the Job Training (OJT)/Student Internship,Article. 1. Local Internship/OJT Program,Section 1. Description,"The USTP Local Internship Program Manual, which includes procedures and guidelines, is adapted from CMO 104, s. 2017 (OVPAA Memorandum No. 001, s. 2019). The student intern shall be considered as an intern and not as an employee of the HTE for the duration of the internship; and in case of working student, he or she shall be allowed to earn credits for internship upon evaluation and assessment of his or her particular assignment/task during internship period, by the USTP. 


",Page: 41-43
ACADEMIC REGULATIONS,Chapter 11. On the Job Training (OJT)/Student Internship,Article. 1. Local Internship/OJT Program,Section 1. Description,"A student intern must: 

1. Be enrolled in an internship subject. 

2. Be at least eighteen (18) years of age from the start of the internship period. 

3. Pass pre-internship requirements as specified in the internship plan. 

4. Submit a Medical Certificate indicating that he or she is in good health and emotionally fit. The medical certificate shall be based on a physical and psychological examination conducted or certified by Department of Health (DOH) accredited clinics and hospitals. He or she must also submit other related medical examination requirements by the Host Training Establishment (HTE), if any; and 

5. Have a notarized written consent from his or her parents or legal guardian. (No waiver is allowed.) 

6. Enter into an internship contract and/or agreements with the participating HTE. 

",Page: 41-43
ACADEMIC REGULATIONS,Chapter 11. On the Job Training (OJT)/Student Internship,Article. 1. Local Internship/OJT Program,Section 1. Description,"A student intern must: 


7. Sign all the required documents necessary for his or her participation in the internship program, including the acceptance letter, internship contract and/or agreement. 

8. Comply with the provisions of the contract and/or agreement including the rules and regulations of USTP, the HTE and CHED at all times. 

9. Undergo the required orientation/internship program conducted by USTP and the HTE. 

10. Report for internship in the HTE based on the schedule indicated in the internship contract and/or agreement. 

11. Perform tasks and activities indicated in the internship plan. 

12. Maintain confidentiality, when and where appropriate, during and after internship period of all the data, business, or trade secrets where such information is not within the public domain and is indicated or understood to be confidential. 
",Page: 41-43
ACADEMIC REGULATIONS,Chapter 11. On the Job Training (OJT)/Student Internship,Article. 1. Local Internship/OJT Program,Section 1. Description,"A student intern must: 


13. Adhere to the existing rules and regulations of the HTE including the proper use of tools, instruments, machines, and equipment. 

14. Submit a journal of internship as required by HTE reflecting on the approved internship plan, his or her experiences describing the internship activities, any problem/s encountered, and his or her reflections on the internship experiences to the SIPP coordinator. 

15. Complete the agreed duration of his or her internship; in case the student intern will be unable to finish his or her internship within the designated period, he or she shall inform the SIPP coordinator in writing of his or her intent and reasons to prematurely end his internship, at least three (3) working days before his last day of internship. Failure to complete the internship program without valid cause disqualifies the student intern from retaking the program with the concerned HTE; and 

16. Report to the SIPP coordinator for an exit assessment after the completion of the internship period.",Page: 41-43
ACADEMIC REGULATIONS,Chapter 11. On the Job Training (OJT)/Student Internship,Article. 1. Local Internship/OJT Program,"Section 2. Procedure
","1. The Letter of Intent is prepared by the student/OJT coordinator and is signed by the Dean. If the industry’s absorptive capacity has been reached, the OJT Coordinator assists the student in applying to other industries. 

2. The Chair/Program Coordinator enrolls qualified students. The student submits a medical certificate. 

3. Orientation on the OJT policies and procedures is conducted, and relevant forms and documents are distributed. 

4. The OJT Coordinator packages all documents and facilitates the commencement of OJT in the partner institution/agency. 

5. Assessment/evaluation is conducted using strategies such as, among others, presentation of narrative report. 

6. All of these forms will be compiled into an OJT Booklet. Forms are available for download on the USTP Website.",Page: 43-44
ACADEMIC REGULATIONS,Chapter 11. On the Job Training (OJT)/Student Internship,Article. 2. International OJT/Internship Program,Section 1. Description,"With reference to CMO 22, s. 2013 or the “Student Internship Abroad Program” (SIAP), the student submits a letter of intent to undergo international internship with supporting documents such as grades, Good Moral Character, ID pictures, written consent from parents/guardian, and photocopy of passport. 



",Page: 44-45
ACADEMIC REGULATIONS,Chapter 11. On the Job Training (OJT)/Student Internship,Article. 2. International OJT/Internship Program,Section 1. Description,"Student interns shall be carefully screened by USTP and must: 

1. Be a Filipino citizen. 

2. be currently enrolled in USTP and must have completed at least 75% of professional units or 4th year or graduating student for that particular program (bachelor’s degree); 

3. be at least 18 years old at the time of the internship. 

4. have passed the pre-practicum/internship requirements of the USTP. 

5. be in good academic standing as certified by the USTP. 

6. be physically, mentally, and emotionally fit and have passed the physical and psychological examinations as certified by DOH accredited clinics and hospitals. 

7. be articulate in English or in the language spoken in the host country. 

8. have a written consent from parents/guardian/spouse. -  
",Page: 44-45
ACADEMIC REGULATIONS,Chapter 11. On the Job Training (OJT)/Student Internship,Article. 2. International OJT/Internship Program,Section 1. Description,"Student interns shall be carefully screened by USTP and must: 

9. sign and comply with the provisions of the internship contract, including the rules and regulations of the CHED, USTP and FHE/O. 

10. undergo the required orientation internship program conducted by USTP and Foreign Host Establishments or Organizations (FHE/O). 

11. report personally to the Visa or Consular Officer of the nearest Philippine Foreign Service Post within a week upon arrival. 

12. keep a bi-monthly journal of practicum experiences describing his/her internship activities, problem/s encountered, and reflections on the internship experience to be submitted on a monthly basis to the faculty member or any authorized Coordinator. 

13. complete the agreed duration of his/her internship. 

14. submit to USTP the terminal report and other school requirements upon completion of the internship training; and 

15. report to CHED through nearest Philippine Foreign Service Post any complaints or grievances.",Page: 44-45
ACADEMIC REGULATIONS,Chapter 11. On the Job Training (OJT)/Student Internship,Article. 2. International OJT/Internship Program,Section 2. Procedure,"1. A MOA is prepared by the OJT Coordinator. 

2. The students submit a letter of intent with supporting documents such as Grades, Good Moral Character, ID pictures, Written consent from Parents/Guardian, photocopy of Passport 

3. The OJT Coordinator and a Selection Committee screen and rank the applicants based on academic performance, attitude, and physical, mental, and emotional fitness, among others. Shortlisted applicants submit themselves for medical laboratory examinations at an accredited hospital/clinic. The OJT Coordinator provides the students with information packets/forms to students - (e.g., Visa application form, Terms and Conditions, Health Insurance form, etc.). 

4. An Orientation and Pre-Internship Seminar attended by the OJT Coordinator, students and parents is conducted. Training expectations, guidelines, rules and regulations, course requirements, etc. are discussed. 

5. The OJT Coordinator registers the qualified applicants and assists in initial arrangements with partner institute, visa application, and transportation reservations. 

6. The Chancellor endorses the student interns with accompanying documents to the CHED Regional Office for evaluation and approval. 

",Page: 45-47
ACADEMIC REGULATIONS,Chapter 11. On the Job Training (OJT)/Student Internship,Article. 2. International OJT/Internship Program,Section 2. Procedure,"7. The OJT Coordinator submits to CHED Central Office a notarized letter of request for endorsement signed by the Chancellor with the required documentations: a. Duly Notarized MOA with FHE/Os with specific obligations/responsibilities and the assurance of fully responsibility over the students while having their internship abroad. b. List of students intending to undergo internship with their documents: i. Notarized Application letter ii. Transcript of Records with seal iii. Passport (Photocopy) iv. Training Permit issued by host country v. Medical Certificate (original) vi. School Certificate of Student’s eligibility 

8. An endorsement signed by the CHED Chairperson is submitted to the Bureau of Immigration for the student’s clearance prior to departure. 

9. The student/s attend a pre-departure seminar/orientation at the embassy of host country. - 

10. The OJT Coordinator packages all documents and endorses the OJT students to their respective institution/agency. 

11. Assessment and Evaluation of the OJT is accomplished through strategies such as presentation of Narrative Reports and/or submission of pertinent documents such as daily time report, etc. as required by the department.",Page: 45-47
ACADEMIC REGULATIONS,"Chapter 12. Research Study/Thesis",,,"In partial fulfillment of the requirements of a bachelor’s degree, a student or a group of students may need to submit an undergraduate thesis for evaluation and approval, following the policies and procedures set by the University: 












",Page: 47-49
ACADEMIC REGULATIONS,"Chapter 12. Research Study/Thesis",,,"1. Student/s who are required to conduct a research study/thesis must be officially enrolled in research study/thesis. For group thesis, the Department Chair requires the students to submit the list of 2-7 group members. 
",Page: 47-49
ACADEMIC REGULATIONS,"Chapter 12. Research Study/Thesis",,,"2. In coordination with the Department Chair, a student or team members may choose an adviser or advisory committee on the basis of their research topic and the faculty’s field/s of specialization or area of interest. Should the students be unable to find adviser/s, the Department Chair may recommend faculty member/s who shall work as their adviser, subject to the approval of the Dean of the college offering the degree. As a general rule, research study/thesis advising shall be done by regular faculty members of the University. The adviser/s should be an instructor/professor of the program with a master’s degree. However, an instructor/professor with a bachelor’s degree may be considered if he possesses expertise (by training or experience). 
",Page: 47-49
ACADEMIC REGULATIONS,"Chapter 12. Research Study/Thesis",,,"3. The student researcher/s prepare and present a concept paper to the Oral Examination Panel, which is a group of 3-4 qualified faculty members (not including the Adviser) who make recommendations and decide on the outcome of the defense and grade of the student. These comments and recommendations are documented in the approval form. 
",Page: 47-49
